,Result,Time(s)
p1,9386,0
p2,8013,1
p3,10017,0
p4,11942,0
p5,9295,1
p6,7898,0
p7,9855,0
p8,11941,0
p9,9197,1
p10,7726,0
p11,9765,0
p12,11726,1
p13,10281,0
p14,8555,0
p15,10985,1
p16,13432,0
p17,9962,1
p18,8626,0
p19,11023,0
p20,12686,1
p21,9311,0
p22,7698,1
p23,10666,0
p24,12584,0
p25,15047,2
p26,13633,1
p27,15941,2
p28,21909,1
p29,15380,1
p30,13027,2
p31,17423,1
p32,23297,2
p33,14997,1
p34,14196,2
p35,18393,1
p36,19821,1
p37,16290,2
p38,12726,1
p39,17908,2
p40,20515,1
p41,7104,1
p42,8904,0
p43,8566,1
p44,7138,0
p45,8507,1
p46,9184,1
p47,6337,0
p48,8023,1
p49,8270,0
p50,9370,1
p51,10532,1
p52,9482,0
p53,10708,1
p54,9553,1
p55,10787,0
p56,23710,2
p57,32882,2
p58,52982,2
p59,39121,3
p60,23882,2
p61,32000,2
p62,51373,2
p63,39121,2
p64,23659,3
p65,32882,3
p66,52604,2
p67,38542,2
p68,23882,2
p69,32882,3
p70,53882,2
p71,39121,2
