,Result,Time(s)
p1,9327,0
p2,8983,0
p3,10651,0
p4,12482,0
p5,9936,0
p6,10089,0
p7,10774,0
p8,12489,0
p9,9040,0
p10,7726,0
p11,10768,0
p12,13622,0
p13,10932,0
p14,9221,0
p15,13250,0
p16,17988,0
p17,11053,0
p18,8970,0
p19,12654,0
p20,16441,0
p21,11877,0
p22,9064,0
p23,13812,0
p24,18284,0
p25,18949,0
p26,16904,0
p27,19864,1
p28,24335,0
p29,17728,0
p30,14937,0
p31,19660,0
p32,22683,0
p33,17783,0
p34,15788,0
p35,19496,0
p36,22497,0
p37,18696,0
p38,15255,0
p39,18866,0
p40,24626,0
p41,7354,0
p42,9791,0
p43,11828,0
p44,7904,0
p45,9661,0
p46,12385,0
p47,6570,0
p48,9728,0
p49,12392,0
p50,10844,0
p51,11461,0
p52,12319,0
p53,13334,0
p54,10411,0
p55,11978,1
p56,23882,0
p57,34765,0
p58,53580,0
p59,39121,0
p60,23882,0
p61,32905,0
p62,54734,1
p63,39121,0
p64,24810,0
p65,35804,0
p66,53882,0
p67,40223,1
p68,23882,0
p69,32882,0
p70,53104,0
p71,39121,0
