,Result,Time(s)
p1,10300,8
p2,9041,6
p3,10717,6
p4,12279,8
p5,10251,7
p6,9352,6
p7,10975,6
p8,13186,11
p9,10282,6
p10,8917,6
p11,10717,6
p12,12517,6
p13,10301,6
p14,8987,5
p15,10808,6
p16,13747,5
p17,9358,10
p18,8464,6
p19,10227,5
p20,12852,6
p21,10048,6
p22,8178,6
p23,10264,5
p24,13177,5
p25,15445,15
p26,12176,14
p27,15566,13
p28,17742,21
p29,13950,13
p30,12729,21
p31,15650,13
p32,18340,14
p33,14695,15
p34,11900,13
p35,15992,13
p36,19042,15
p37,13516,13
p38,12137,13
p39,15548,14
p40,18938,13
p41,8795,8
p42,8668,9
p43,8745,8
p44,12083,8
p45,11133,8
p46,9749,13
p47,13335,13
p48,11324,7
p49,9855,7
p50,8956,24
p51,8494,27
p52,14766,9
p53,14032,12
p54,14693,9
p55,12007,12
p56,27015,17
p57,35844,17
p58,55954,16
p59,42351,19
p60,28184,17
p61,36715,16
p62,54432,16
p63,42071,16
p64,27410,17
p65,36152,16
p66,56902,17
p67,41689,17
p68,28101,17
p69,34763,16
p70,56908,17
p71,42747,19
